Name,Address,Phone,State,ProfileURL,Website,ID
City Family Dental Care,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/city-family-dental-care/A11003152,,A11003152
Dentist On Collins,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dentist-on-collins/A11003184,,A11003184
Melbourne Dentist,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/melbourne-dentist/A11001238,,A11001238
Art De Dente,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/art-de-dente/A11003422,,A11003422
Verve Dental Collins Street,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/verve-dental-collins-street/A11003170,,A11003170
Dental Health Care Associates,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dental-health-care-associates/A11003113,,A11003113
Collins Precision Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/collins-precision-dental/A11003165,,A11003165
Q1 Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/q1-dental/A11002479,,A11002479
Melbourne Dentistry,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/melbourne-dentistry/A16014080,,A16014080
Smile Solutions,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/smile-solutions/A11005307,,A11005307
Oral Surgery Clinics,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/oral-surgery-clinics/A22017578,,A22017578
Melbourne Oral and Maxillofacial Surgery,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/melbourne-oral-and-maxillofacial-surgery/A22018208,,A22018208
Dental on Flinders,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dental-on-flinders/A14012734,,A14012734
Family Dental on Collins,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/family-dental-on-collins/A15013351,,A15013351
National Dental Care Spring Street,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/national-dental-care-spring-street/A11001365,,A11001365
BlueSpa Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/bluespa-dental/A11000501,,A11000501
Teachers Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/teachers-dental/A14012009,,A14012009
Enhance Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/enhance-dental/A11002875,,A11002875
Dr Philip Papa Dental Surgery,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-philip-papa-dental-surgery/A11003008,,A11003008
Gorgeous Smiles Dentistry,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/gorgeous-smiles-dentistry/A18015414,,A18015414
Dr Adeline Chong - Periodontist,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-adeline-chong---periodontist/A11003138,,A11003138
Periodontal Associates,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/periodontal-associates/A14012354,,A14012354
Oral and Maxillofacial Surgeons,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/oral-and-maxillofacial-surgeons/A11003151,,A11003151
Ewan Jones Dental,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/ewan-jones-dental/A14011945,,A14011945
The Alfred,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/the-alfred/A16014202,,A16014202
Oral Maxofacial Surgery Group,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/oral-maxofacial-surgery-group/A16014165,,A16014165
Dr David Brown and Dr Stephanie Karevski,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/dr-david-brown-and-dr-stephanie-karevski/A11003123,,A11003123
Melbourne Dentist Clinic,,,VIC,https://www.dentist.com.au/dentist-detail/vic/melbourne/melbourne-dentist-clinic/A11003183,,A11003183
