State,Practice Name,Principal Dentist / Owner,City,Postcode,Phone,Email,Website,Source,Healthdirect Service ID
NSW,MLC Centre Dental Surgery,,Sydney,2000,02 9232 3866,,https://www.martinplacedentalhealth.com.au/,Healthdirect Service Finder,7f9ac708-ce91-cc3c-2d8e-114d99811381
NSW,Grave Warwick S,,Sydney,2000,02 9235 1817,,,Healthdirect Service Finder,2b66628f-ff25-7090-746b-2d312bee0577
NSW,Dentistry @ Castlereagh Street,,Sydney,2000,02 9221 2299,dentistry@castlereaghst.com.au,www.castlereaghst.com.au,Healthdirect Service Finder,8f8567be-6e4a-d483-395b-6339c61720c6
NSW,Spa Dental Sydney CBD,,Sydney,2000,0292218348,info@spadental.com.au,https://www.spadentalsydneycbd.com.au/,Healthdirect Service Finder,9197667d-c158-4da9-8f7d-1f1e0ed2d2d6
NSW,Today's Dental Solutions,,Sydney,2000,02 9223 6622,city@todaysdental.net.au,www.todaysdental.net.au,Healthdirect Service Finder,a3c42ea4-0378-02ff-bd54-49b269ad9ee8
NSW,CBD Dental Care,,Sydney,2000,02 9221 2403,info@cbddental.com.au,www.cbddentalcare.com.au,Healthdirect Service Finder,89504af8-6e4d-5aa7-2439-632cea9cee08
NSW,Sydney Holistic Dental Centre,,Sydney,2000,02 9221 5800,shdc@shdc.com.au,www.shdc.com.au,Healthdirect Service Finder,c6a669e5-94f4-66ba-b736-a1af75b9337f
NSW,Sydney Dental Aesthetics and Implants,,Sydney,2000,02 9233 3301,info@sdai.com.au,http://www.sdai.com.au/,Healthdirect Service Finder,6d2d5d43-f905-e837-7d4d-8bedf007ce7e
NSW,Martin Place Dental,,Sydney,2000,02 9232 8599,padental@bigpond.net.au,www.martinplacedental.com.au,Healthdirect Service Finder,d208e8ac-e23e-5d09-f585-35c97fef8094
NSW,Prudential Dental - Sydney,,Sydney,2000,02 9233 7515,prudentialdentist@gmail.com,http://www.prudentialdental.com.au/,Healthdirect Service Finder,c1bf4101-5c71-7a75-3e16-7a2da7e60033
NSW,Macquarie Street Dental Care,,Sydney,2000,02 9158 6273,macquariedental@gmail.com,http://www.macquarie-dental.com.au,Healthdirect Service Finder,91e096f3-9580-b047-ba07-8535b4353ec5
NSW,Sydney City Dentist,,Sydney,2000,02 9232 2814,,,Healthdirect Service Finder,fc3d0317-85bb-8d83-e57b-5db15cd632c4
NSW,Toothcare,,Sydney,2000,02 9241 2751,thedentist@toothcare.com.au,www.toothcare.com.au,Healthdirect Service Finder,fbd72af6-0f7e-88d4-db70-563d4c1689d3
NSW,Dentist Sydney - Macquarie Dental,,Sydney,2000,,,https://macquariedental.com.au/,Healthdirect Service Finder,3d36f458-d6d7-4a7e-b8e5-ef32400db069
NSW,Dr Greg Vandepeer,,Sydney,2000,02 9221 3300,drgvandepeer@bigpond.com,http://www.sydneycitydentists.com.au/,Healthdirect Service Finder,fcc77bf4-9af3-6710-084c-9bc47a5fd94b
NSW,Sublime Dental,,Sydney,2000,02 9299 6009,info@sublimedental.com.au,https://www.sublimedental.com.au,Healthdirect Service Finder,595803e0-433d-cd44-c9d9-dcac882b5f64
NSW,Dr Eric Klein Dental Surgery,,Sydney,2000,02 9299 4910,eric@citydentist.com.au,http://www.citydentist.com.au/,Healthdirect Service Finder,1e10b4dc-bd75-40e2-8e60-06b898eda6f5
NSW,City Dentist - George Street,,Sydney,2000,02 9299 1761,,https://citydentist.com.au/,Healthdirect Service Finder,e79a0ff0-0f20-42f0-8214-95c9188c1f7f
NSW,Anew Smile - Sydney,,Sydney,2000,1800 667 246,,https://www.anewsmile.com.au/location/sydney,Healthdirect Service Finder,55c7b6e8-eb87-486a-b24b-e13a284ab6c1
NSW,Dental Boutique Sydney,,Sydney,2000,1300 327 645,,https://dentalboutique.com.au/locations/sydney-dentists/,Healthdirect Service Finder,40e9a594-6ad3-4f6a-b7ed-c775b789a590
NSW,HCF Dental Centre,,Sydney,2000,02 9290 0555,,www.hcf.com.au,Healthdirect Service Finder,2dec2062-3a3f-dd94-23a2-3f57dfc263d2
NSW,Pitt Street Dental Centre,,Sydney,2000,02 9223 4767,info@pittstdentalcentre.com.au,http://www.pittstdentalcentre.com.au/,Healthdirect Service Finder,6716930b-0cdf-2322-c31c-3126a866251f
NSW,The Dentist at 70 Pitt Street,,Sydney,2000,02 9232 6367,info@thedentist.net.au,www.thedentist.net.au,Healthdirect Service Finder,fa1db937-f9e1-9ff9-8cca-37c30da9cb79
