State,Practice Name,Principal Dentist / Owner,City,Postcode,Phone,Email,Website,Source,Healthdirect Service ID
VIC,QV Dental - Melbourne,,Melbourne,3000,03 9654 2755,enquiries@qvdental.com.au,www.qvdental.com.au,Healthdirect Service Finder,103bdd56-317b-6d7f-d5c4-4b18e034d84a
VIC,MC Dental,,Melbourne,3000,03 8608 8968,enquiries@mcdental.com.au,http://www.mcdental.com.au,Healthdirect Service Finder,f8e9b88c-480f-59fc-d73f-c1ad4d2b2a81
VIC,Metro Dental - Swanston Street,,Melbourne,3000,03 9671 4746,metrodentalreception@gmail.com,,Healthdirect Service Finder,e02acb32-0e3d-6a0a-ad26-796c50818164
VIC,Happy Dentistry,,Melbourne,3000,03 9663 3401,info@happy-dentistry.com.au,https://happy-dentistry.com.au/,Healthdirect Service Finder,2b6c31b7-2a06-4542-bd88-0193c9515353
VIC,Pacific Smiles Dental - Melbourne,,Melbourne,3000,03 8600 1600,melbourne@pacificsmiles.com.au,https://pacificsmilesdental.com.au/locations/melbourne-cbd/,Healthdirect Service Finder,821c636a-d091-3d2f-21ca-bd85455fea74
VIC,Finesse Dentists - CBD,,Melbourne,3000,03 9650 2425,,www.finessedentists.com.au,Healthdirect Service Finder,80a21d7a-57c1-4698-826e-03455270329a
VIC,Stellar Dental Pty Ltd,,Melbourne,3000,03 9650 9403,office@stellardental.com.au,www.stellardental.com.au,Healthdirect Service Finder,392dc0c9-7e1a-3ab8-4066-e48e77fa41c2
VIC,Manchester Unity Dental Centre,,Melbourne,3000,03 9654 8055,info@manchesterunitydental.com.au,https://www.manchesterunitydental.com.au/,Healthdirect Service Finder,fce83e2f-d789-d9ac-a089-039180278d19
VIC,Art de Dente Melbourne CBD,,Melbourne,3000,03 9642 8955,reception@artdedente.com.au,https://artdedente.com.au/,Healthdirect Service Finder,6baf267e-801c-762a-46e7-2033fac2fe45
VIC,Smile Solutions,,Melbourne,3000,0396504920,,https://www.smilesolutions.com.au/,Healthdirect Service Finder,2fa43d6c-6509-48be-5f56-9017b987e735
VIC,Collins Dental Image,,Melbourne,3000,03 9650 6622,info@cdimage.com.au,www.cdimage.com.au,Healthdirect Service Finder,faff0a5f-f955-3671-7be6-2bc436970584
VIC,Melbourne City Medical Centre,,Melbourne,3000,03 9639 9600,melbcitymedical@gmail.com,http://www.melbournecitymedical.com.au/,Healthdirect Service Finder,a7e84d35-1418-5bfb-45cf-15d46beb4213
VIC,Collins Precision Dental,,Melbourne,3000,03 9654 5075,,www.collinsprecisiondental.com.au,Healthdirect Service Finder,813c3056-8ed9-4d60-89dc-a5753845492e
VIC,Melbourne Dentistry,,Melbourne,3000,03 9650 0033,info@melbournedentistry.com,https://www.melbournedentistry.com/,Healthdirect Service Finder,63777e6f-edb0-e4c6-06a4-b153716ef6d3
VIC,Dr Ewan Jones,,Melbourne,3000,03 9654 1800,info@ewanjonesdental.com,www.ewanjonesdental.com,Healthdirect Service Finder,410d5f1b-0541-b4f2-5e9a-9083d9efa5f5
VIC,Dental Health Care Associates,,Melbourne,3000,03 9650 2909,enquiries@dentalhealth.com.au,www.dentalhealth.com.au,Healthdirect Service Finder,4c147e6f-5a0c-86df-4f04-8af1fc079037
VIC,Kurrajong Dentists,,Melbourne,3000,03 9650 3616,dentists@ohpw.com.au,,Healthdirect Service Finder,88b19cda-40af-da31-56b7-39ab42b130dd
VIC,Era Health Doctor Melbourne CBD,,Melbourne,3000,03 9944 6200,info@erahealth.com.au,www.erahealthdental.com.au,Healthdirect Service Finder,026dee9b-2e8d-8fa4-4fbc-aaf8b2de7a2d
VIC,Maven Dental Collins Street,,Melbourne,3000,03 9654 8977,collinsstreet@mavendental.com.au,https://mavendental.com.au/dentists/maven-dental-collins-street/,Healthdirect Service Finder,d0442472-8a1f-62d1-4cbd-b18fd62dca56
VIC,Dr J A Vochala - Dentist,,Melbourne,3000,03 9654 6670,javochala@bigpond.com,,Healthdirect Service Finder,6ecd90e7-af5a-c824-6faa-28740462deea
VIC,NIB Dental Care Centre - Melbourne,,Melbourne,3000,03 9679 8888,,https://nibdental.com.au/locations/dentist-melbourne/,Healthdirect Service Finder,4a17870e-e282-59dd-14b3-ac28c60d5859
VIC,Bupa Dental - Bourke Street,,Melbourne,3000,03 9248 5700,bourkest@bupadental.com.au,bupadental.com.au,Healthdirect Service Finder,0a0ad20e-8c66-967c-779c-e87a6e88c53f
VIC,Dental on Flinders,,Melbourne,3000,03 9041 0049,info@dentalonflinders.com.au,www.dentalonflinders.com.au,Healthdirect Service Finder,78871caf-cafd-8ac2-8619-52d76417a2fd
VIC,Dimos Dental,,Melbourne,3000,03 9654 6667,mail@dimosdental.com.au,www.dimosdental.com.au,Healthdirect Service Finder,4d8f0a06-c7d6-26a0-2e93-d6424e8cb68c
VIC,Dr George Luk - Dentist,,Melbourne,3000,03 9650 4736,,,Healthdirect Service Finder,8267b8c3-da37-df1f-433e-80a0126439c5
VIC,Collins Street Dental Aesthetics,,Melbourne,3000,03 9650 7988,contact@csdentalaesthetics.com,,Healthdirect Service Finder,897fc1d3-62a9-4678-452c-d9ff72cf4608
VIC,Bouverie Dental,,Carlton,3053,03 9347 3350,,https://www.bouveriedental.com.au,Healthdirect Service Finder,689ad596-1994-4b8d-9bcb-99e5ce135ba2
VIC,Dr Ian Cross - Dentist,,Melbourne,3000,03 9654 5844,,,Healthdirect Service Finder,d253dc67-fc22-4e50-a2c1-2326ee27ea09
VIC,Leila Zamani Dentist,,Melbourne,3000,03 9670 9021,leilazamani@lzamani.com.au,http://www.dentist-melbourne-cbd.com.au/,Healthdirect Service Finder,464e9f6f-10d6-b9be-9507-b471e0be9af9
VIC,Vogue Smiles Melbourne,,Melbourne,3000,03 9629 7664,,https://www.drzenaidycastro.com.au/,Healthdirect Service Finder,da92795d-97d0-5285-fd44-51ed6b7a8764
VIC,Smile Care Dentists,,Geelong,3220,03 5223 3255,info@smilecaredentists.com.au,www.smilecaredentists.com.au,Healthdirect Service Finder,0d70dad7-302e-5651-117b-9bf38819d10e
VIC,Totally Smiles Geelong,,Geelong,3220,03 5229 8721,geelong@totallysmiles.com.au,https://totallysmiles.com.au/practice/totally-smiles-geelong/,Healthdirect Service Finder,276de90c-5e42-9e5c-8c10-1821958791ce
VIC,GMHBA Dental Care Geelong,,Geelong,3220,,,https://www.gmhba.com.au/health-practices/dentalcare/locations,Healthdirect Service Finder,c089d5bc-77d5-473b-86f0-7d59265d1d59
VIC,Wyatt and Ryan Dental Clinic,,Geelong,3220,03 5229 5547,reception@wyattryan.com.au,https://www.wyattryan.com.au/,Healthdirect Service Finder,13ef361a-791c-a684-9674-a908a2139c71
VIC,Aesthetik Dental Geelong,,Geelong,3220,1800861343,enquiries@aesthetik.com.au,www.aesthetik.com.au,Healthdirect Service Finder,bd94024b-6c0c-4180-a418-4d689b69f8cb
VIC,Geelong Dental & Implant Centre,,Geelong,3220,03 5223 2833,info@gdic.com.au,www.geelongimplantcentre.com.au,Healthdirect Service Finder,b8eb1c53-ce72-197a-98e8-bf0c4524ebc9
VIC,Barwon Health - University Hospital Geelong,,Geelong,3220,03 4215 0000,,www.barwonhealth.org.au,Healthdirect Service Finder,0d14cd4b-2dc7-44a8-8543-706d21084f81
VIC,Dentalspa - Geelong,,Geelong,3220,03 5223 1555,info@dentalspa.com.au,www.dentalspa.com.au,Healthdirect Service Finder,718ff359-311e-ee90-8b76-d825e9d61c1d
VIC,Dentists & Doctors,,Geelong,3220,03 5221 9129,info@dentistsndoctors.com.au,http://www.dentistsndoctors.com.au,Healthdirect Service Finder,21585c21-be89-4030-823d-6e0ad149abbd
VIC,Lovely Dental Care,,Geelong,3220,03 5298 1020,info@lovelydentalcare.com.au,https://www.lovelydentalcare.com.au,Healthdirect Service Finder,b4b1c3a9-b212-becf-dff1-ae368ccda08d
VIC,Myers Street Dental Clinic,,Geelong,3220,03 5222 4599,info@myersdental.com.au,https://myersdental.com.au/,Healthdirect Service Finder,27c6e84d-cfae-d526-f823-bd084dbcf4e8
VIC,Geelong Smile Studio,,Geelong,3220,03 5221 6610,info@smilestudio.com.au,www.smilestudio.com.au,Healthdirect Service Finder,8b04f4f1-f10f-5914-4303-4a51e7a279fc
VIC,All Smiles Dental Practice,,Geelong West,3218,03 5229 5856,info@allsmilesdentalpractice.com.au,http://www.AllSmilesDentalPractice.com.au,Healthdirect Service Finder,93bdd633-95d8-9632-db9b-0026e30a89af
VIC,Garden Street Dental,,Geelong,3220,03 5229 5811,info@gardenstreetdental.com.au,www.gardenstreetdental.com.au,Healthdirect Service Finder,7ea886db-83aa-348b-fcd0-5f4feb110f45
VIC,Kardinia Dental,,South Geelong,3220,03 5229 5352,info@kardiniadental.com.au,www.kardiniadental.com.au,Healthdirect Service Finder,507711a0-78f9-0e5b-bed5-dc5d8c5296b3
VIC,Pakington Dental Care,,Newtown,3220,03 5229 2222,info@pakingtondentalcare.com.au,www.pakingtondentalcare.com.au,Healthdirect Service Finder,fbacf21c-8811-c42a-ceaf-037b54ad5ddb
VIC,Gentle Dental Geelong,,Geelong West,3218,03 5222 2477,info@gentledental.net.au,www.gentledentalgeelong.com.au,Healthdirect Service Finder,b5a56e1c-5ea0-c703-dc9f-0266bdfa989e
VIC,East Geelong Dentist Practice,,East Geelong,3219,03 5229 3945,eastgeelongdentalpractice@gmail.com,,Healthdirect Service Finder,a96b16c7-f082-9438-9cb3-3220104b2f7b
VIC,Dr Burnett Dental Surgery,,Geelong West,3218,03 5221 5066,trin@pipeline.com.au,,Healthdirect Service Finder,eeee966b-20c6-3d34-003d-8d1219783484
VIC,Creative Dental Haus,,Geelong West,3218,03 5222 6656,,https://www.creativedentalhaus.com.au/,Healthdirect Service Finder,3211fb18-dc2e-4fd6-752f-6606094106e2
VIC,Aviva Dental,,Newtown,3220,03 5298 2511,info@avivadental.com.au,,Healthdirect Service Finder,473a425c-07ff-dc3d-a84c-731b4e6c090d
VIC,Anew Smile - Geelong,,Geelong West,3218,1800 667 246,,https://www.anewsmile.com.au/location/geelong,Healthdirect Service Finder,f61b426c-3882-48f1-bbbf-5615c8f04f88
VIC,Dental Boutique Geelong,,Geelong West,3218,1300 327 645,,https://dentalboutique.com.au/locations/geelong/,Healthdirect Service Finder,4a5663bd-f5e2-4eb6-a72c-3250c61a1271
VIC,Dental 4U - Geelong,,Geelong West,3218,03 5222 5622,reception@dental4u.com.au,www.dental4u.com.au/geelong-dentist.html,Healthdirect Service Finder,050ba5c5-cb82-6898-75b5-2d16bb139223
VIC,Shannon Avenue Dental Care,,Newtown,3220,03 5222 7585,care@shannondental.com.au,,Healthdirect Service Finder,d67c35b8-2420-3af4-404e-fb7001fde942
VIC,Happy Dental,,Geelong West,3218,03 5229 6668,,http://www.happydental.com.au,Healthdirect Service Finder,e02df025-cc52-67fb-dde4-9f33633da0bc
VIC,Belmont Dental Group,,Belmont,3216,03 5243 9111,info@belmontdentalgroup.com.au,http://www.belmontdentalgroup.com.au/,Healthdirect Service Finder,5410dbf3-07a5-63c1-3f48-06d3396860ef
VIC,Dental Hub Geelong,,North Geelong,3215,03 4224 0066,info@dentalhubgeelong.com.au,https://dentalhubgeelong.com.au/,Healthdirect Service Finder,475cb6ef-915f-4641-9b73-e25120e3d204
VIC,Belmont Dental Care,,Belmont,3216,03 5243 9541,belmontdentalcarevic@gmail.com,,Healthdirect Service Finder,64c80eae-0ad3-12d0-de89-3dce8c950f09
