State,Practice Name,Principal Dentist / Owner,City,Postcode,Phone,Email,Website,Source,Healthdirect Service ID
QLD,BNS Brisbane Dental Implant,,Brisbane City,4000,07 5405 9513,bnsbrisbanedentalimplant@gmail.com,https://bnsbrisbanedentalimplant.com.au/,Healthdirect Service Finder,a4f1cb6f-17f5-47bb-90a9-0a9d76ac2b09
QLD,Nick Sheptooha Dental Practice,,Brisbane City,4000,07 3221 2306,info@drnicksdental.com.au,www.drnicksdental.com.au,Healthdirect Service Finder,97699e5f-dc9c-525e-f0f9-b6da1aea8c21
QLD,Foundation Dental Services Brisbane,,Brisbane City,4000,07 3878 2519,admin@foundationdental.com.au,http://www.foundationdental.com/,Healthdirect Service Finder,fd2a3641-7905-51c9-e416-bf0a8f93fe7a
QLD,National Dental Care Brisbane CBD,,Brisbane City,4000,07 3229 2051,reception.brisbane.cbd@nationdentalcare.com.au,https://www.nationaldentalcare.com.au/practice/brisbane-cbd/,Healthdirect Service Finder,c2493540-128e-4c6a-8733-f09034351cff
QLD,City Denture Clinic,,Brisbane City,4000,07 3177 6558,citydentureclinic@gmail.com,,Healthdirect Service Finder,fe146450-6ed8-70d5-51b1-154379b42cff
QLD,Dr Justin Boulton,,Brisbane City,4000,07 3210 0115,justin@prosthodontist.com.au,,Healthdirect Service Finder,e7df054c-4124-30e5-b414-5285493e4d55
QLD,Dental Space,,Brisbane City,4000,07 3220 3302,info@dentalspace.com.au,http://www.dentalspace.com.au,Healthdirect Service Finder,1667b431-a102-2df3-1185-3f454049904a
QLD,David Hogan - Dentist,,Brisbane City,4000,07 3210 6700,reception@hogandental.com.au,www.hogandental.com.au,Healthdirect Service Finder,a4e660d4-1ffb-58a2-2786-e48219c85587
QLD,Bite Dental Studios,,Brisbane City,4000,07 3221 5399,simon@bitedental.com.au,www.bitedental.com.au,Healthdirect Service Finder,a28e26a5-82e0-ba13-43a0-089cdda9c6a2
QLD,Brisbane Orthodontics,,Brisbane City,4000,07 3229 3372,,www.brisbane-orthodontics.com.au,Healthdirect Service Finder,4dfb0246-f25c-f62b-6693-7bb8ea77041d
QLD,Refresh Dental,,Brisbane City,4000,07 3221 2292,,www.refreshdental.com.au,Healthdirect Service Finder,d7c58f4e-96ec-8884-e413-c4b265d777e3
QLD,Teeth First,,Brisbane City,4000,07 3229 4121,info@teethfirst.com.au,www.teethfirst.com.au,Healthdirect Service Finder,674f3436-8663-1a0c-d923-d0dec51bf9d6
QLD,Ralph French Dental,,Brisbane City,4000,07 3221 0755,reception@drteeth.net,www.drteeth.net,Healthdirect Service Finder,a00590e9-3cf6-dd27-eb5b-afd0d29ea4de
